Symbol,Expiry,Strike,CE_LTP,PE_LTP,CE_OI,PE_OI
BANKNIFTY,30-Sep-25,51600,0,75.65,4,362
BANKNIFTY,28-Oct-25,51600,0,0,0,0
BANKNIFTY,25-Nov-25,51600,0,0,0,0
BANKNIFTY,30-Sep-25,51700,0,80.85,0,1396
BANKNIFTY,28-Oct-25,51700,0,0,0,0
BANKNIFTY,25-Nov-25,51700,0,0,0,0
BANKNIFTY,30-Sep-25,51800,0,86.8,24,676
BANKNIFTY,28-Oct-25,51800,0,0,0,0
BANKNIFTY,25-Nov-25,51800,0,0,0,0
BANKNIFTY,30-Sep-25,51900,0,97.65,0,611
BANKNIFTY,28-Oct-25,51900,0,0,0,0
BANKNIFTY,25-Nov-25,51900,0,0,0,0
BANKNIFTY,30-Sep-25,52000,2475.45,102.75,2548,17513
BANKNIFTY,28-Oct-25,52000,2835,219.3,35,1056
BANKNIFTY,25-Nov-25,52000,0,0,0,0
BANKNIFTY,30-Sep-25,52100,0,113.3,7,914
BANKNIFTY,28-Oct-25,52100,0,0,0,0
BANKNIFTY,25-Nov-25,52100,0,0,0,0
BANKNIFTY,30-Sep-25,52200,2218.35,122,9,574
BANKNIFTY,28-Oct-25,52200,0,0,0,0
BANKNIFTY,25-Nov-25,52200,0,0,0,0
BANKNIFTY,30-Sep-25,52300,0,131,16,1521
BANKNIFTY,28-Oct-25,52300,0,0,0,0
BANKNIFTY,25-Nov-25,52300,0,0,0,0
BANKNIFTY,30-Sep-25,52400,0,145,8,1407
BANKNIFTY,28-Oct-25,52400,0,0,0,0
BANKNIFTY,25-Nov-25,52400,0,0,0,0
BANKNIFTY,30-Sep-25,52500,2016.95,154.25,504.14285714285717,17054
BANKNIFTY,28-Oct-25,52500,2462.05,293.35,9,572
BANKNIFTY,25-Nov-25,52500,0,0,0,0
BANKNIFTY,30-Dec-25,52500,0,462.05,0,1401.2857142857142
BANKNIFTY,30-Sep-25,52600,0,166.5,33,1561
BANKNIFTY,28-Oct-25,52600,0,0,0,0
BANKNIFTY,25-Nov-25,52600,0,0,0,0
BANKNIFTY,30-Sep-25,52700,1810,180.85,19,755
BANKNIFTY,28-Oct-25,52700,0,0,2,0
BANKNIFTY,25-Nov-25,52700,0,0,0,0
BANKNIFTY,30-Sep-25,52800,1755.15,197.2,9,2452
BANKNIFTY,28-Oct-25,52800,0,354.4,0,19
BANKNIFTY,25-Nov-25,52800,0,0,0,0
BANKNIFTY,30-Sep-25,52900,1605.9,212.95,15,798
BANKNIFTY,28-Oct-25,52900,0,0,1,0
BANKNIFTY,25-Nov-25,52900,0,0,0,0
BANKNIFTY,30-Sep-25,53000,1604,231.1,2643,22917
BANKNIFTY,28-Oct-25,53000,2038.8,386.75,273,2558
BANKNIFTY,25-Nov-25,53000,2300,0,10,0
BANKNIFTY,30-Sep-25,53100,1530,250.2,41,948
BANKNIFTY,28-Oct-25,53100,1942,0,0,0
BANKNIFTY,25-Nov-25,53100,0,0,0,0
BANKNIFTY,30-Sep-25,53200,1445,271,60,1772
BANKNIFTY,28-Oct-25,53200,0,440.75,0,9
BANKNIFTY,25-Nov-25,53200,0,0,0,0
BANKNIFTY,30-Sep-25,53300,1374.45,293.05,150,1233
BANKNIFTY,28-Oct-25,53300,0,0,0,0
BANKNIFTY,25-Nov-25,53300,0,0,0,0
BANKNIFTY,30-Sep-25,53400,1295,315.9,225,1524
BANKNIFTY,28-Oct-25,53400,0,0,0,0
BANKNIFTY,25-Nov-25,53400,0,0,0,0
BANKNIFTY,30-Sep-25,53500,1220,345.3,2820,16150
BANKNIFTY,28-Oct-25,53500,1673.2,517,62,854
BANKNIFTY,25-Nov-25,53500,0,0,11,0
BANKNIFTY,30-Sep-25,53600,1142.4,371.8,776,2270
BANKNIFTY,28-Oct-25,53600,1600,0,6,0
BANKNIFTY,25-Nov-25,53600,0,0,0,0
BANKNIFTY,30-Sep-25,53700,1082.6,403,945,2662
BANKNIFTY,28-Oct-25,53700,0,589.6,0,32
BANKNIFTY,25-Nov-25,53700,0,0,0,0
BANKNIFTY,30-Sep-25,53800,1008.65,431.6,2286,5504
BANKNIFTY,28-Oct-25,53800,1456,608.4,20,131
BANKNIFTY,25-Nov-25,53800,0,0,0,0
BANKNIFTY,30-Sep-25,53900,950.8,468.3,2977,4245
BANKNIFTY,28-Oct-25,53900,1395,646.55,40,98
BANKNIFTY,25-Nov-25,53900,0,0,0,0
BANKNIFTY,30-Sep-25,54000,880.15,504.95,25935.428571428572,35998
BANKNIFTY,28-Oct-25,54000,1334.4,672,1155,2328
BANKNIFTY,25-Nov-25,54000,1751.6,765,473,59
BANKNIFTY,30-Dec-25,54000,2250,833,1405,4354
BANKNIFTY,31-Mar-26,54000,0,0,0,0
BANKNIFTY,30-Sep-25,54100,822.3,545.2,3272,2416
BANKNIFTY,28-Oct-25,54100,1270,0,42,0
BANKNIFTY,25-Nov-25,54100,0,0,0,0
BANKNIFTY,30-Sep-25,54200,768,583.25,5239,2952
BANKNIFTY,28-Oct-25,54200,1200,0,41,0
BANKNIFTY,25-Nov-25,54200,0,0,2,0
BANKNIFTY,30-Sep-25,54300,715,624.05,3473,4117
BANKNIFTY,28-Oct-25,54300,1138.45,786.85,39,46
BANKNIFTY,25-Nov-25,54300,0,0,0,0
BANKNIFTY,30-Sep-25,54400,656.2,670,2586,2545
BANKNIFTY,28-Oct-25,54400,1081,868.25,25,50
BANKNIFTY,25-Nov-25,54400,0,0,0,0
BANKNIFTY,30-Sep-25,54500,608,722.15,17525,17103
BANKNIFTY,28-Oct-25,54500,1038.2,877.8,568,635
BANKNIFTY,25-Nov-25,54500,1408.5,1125,24,0
BANKNIFTY,30-Sep-25,54600,560.5,775,3224,1340
BANKNIFTY,28-Oct-25,54600,990.4,921,73,44
BANKNIFTY,25-Nov-25,54600,0,0,0,0
BANKNIFTY,30-Sep-25,54700,910.35,831.45,3058,1232
BANKNIFTY,28-Oct-25,54700,937.3,967,43,28
BANKNIFTY,25-Nov-25,54700,0,0,0,0
BANKNIFTY,30-Sep-25,54800,470,883,2959,1178
BANKNIFTY,28-Oct-25,54800,853.35,1014.25,36,21
BANKNIFTY,25-Nov-25,54800,0,0,0,0
BANKNIFTY,30-Sep-25,54900,428.75,945.85,3152,3067
BANKNIFTY,28-Oct-25,54900,840,1103,14,15
BANKNIFTY,25-Nov-25,54900,0,0,0,0
BANKNIFTY,30-Sep-25,55000,392.4,1004,32590,20775
BANKNIFTY,28-Oct-25,55000,783.2,1115,2039,1962
BANKNIFTY,25-Nov-25,55000,1180,0,302,0
BANKNIFTY,30-Sep-25,55100,355.75,1050.35,2592,806
BANKNIFTY,28-Oct-25,55100,725.8,1198.15,50,35
BANKNIFTY,25-Nov-25,55100,0,0,0,0
BANKNIFTY,30-Sep-25,55200,320.7,1136.75,3567,1014
BANKNIFTY,28-Oct-25,55200,698,0,43,24
BANKNIFTY,25-Nov-25,55200,0,0,0,0
BANKNIFTY,30-Sep-25,55300,290.65,1209.9,3434,983
BANKNIFTY,28-Oct-25,55300,626,0,7,31
BANKNIFTY,25-Nov-25,55300,0,0,0,0
BANKNIFTY,30-Sep-25,55400,264.9,1280,2581,366
BANKNIFTY,28-Oct-25,55400,622.05,0,34,5
BANKNIFTY,25-Nov-25,55400,0,0,0,0
BANKNIFTY,30-Sep-25,55500,237.9,1342.05,22424,8871.428571
BANKNIFTY,28-Oct-25,55500,574.4,1391.9,682,372
BANKNIFTY,25-Nov-25,55500,0,0,0,0
BANKNIFTY,30-Dec-25,55500,0,1420,1,1265.7142857142858
BANKNIFTY,30-Sep-25,55600,214.7,1429.3,2626,597
BANKNIFTY,28-Oct-25,55600,540,0,68,7
BANKNIFTY,25-Nov-25,55600,0,0,0,0
BANKNIFTY,30-Sep-25,55700,191.15,1500,2463,504
BANKNIFTY,28-Oct-25,55700,0,0,0,0
BANKNIFTY,25-Nov-25,55700,0,0,0,0
BANKNIFTY,30-Sep-25,55800,172,1585.25,3516,614
BANKNIFTY,28-Oct-25,55800,470,0,101,3
BANKNIFTY,25-Nov-25,55800,0,0,0,0
BANKNIFTY,30-Sep-25,55900,155.55,1660.2,2199,358
BANKNIFTY,28-Oct-25,55900,0,0,0,2
BANKNIFTY,25-Nov-25,55900,0,0,0,0
BANKNIFTY,30-Sep-25,56000,137.2,1740.5,35458,11961
BANKNIFTY,28-Oct-25,56000,411.2,1747.25,1563,463
BANKNIFTY,25-Nov-25,56000,0,0,0,0
BANKNIFTY,30-Sep-25,56100,123.2,1855,1869,338
BANKNIFTY,28-Oct-25,56100,0,0,0,0
BANKNIFTY,25-Nov-25,56100,0,0,0,0
BANKNIFTY,30-Sep-25,56200,108.05,1919,2411,282
BANKNIFTY,28-Oct-25,56200,0,0,0,2
BANKNIFTY,25-Nov-25,56200,0,0,0,0
BANKNIFTY,30-Sep-25,56300,99.4,2008.25,2025,310
BANKNIFTY,28-Oct-25,56300,0,2017.55,0,4
BANKNIFTY,25-Nov-25,56300,0,0,0,0
BANKNIFTY,30-Sep-25,56400,88.7,2109.45,1891,148
BANKNIFTY,28-Oct-25,56400,0,0,0,0
BANKNIFTY,25-Nov-25,56400,0,0,0,0
BANKNIFTY,30-Sep-25,56500,79.5,2180,17121,3389
BANKNIFTY,28-Oct-25,56500,268.3,2109.8,1238,36
BANKNIFTY,25-Nov-25,56500,0,0,0,0
BANKNIFTY,30-Sep-25,56600,71,2275.45,1900,216
BANKNIFTY,28-Oct-25,56600,0,0,0,0
BANKNIFTY,25-Nov-25,56600,0,0,0,0
BANKNIFTY,30-Sep-25,56700,62.95,0,1514,198
BANKNIFTY,28-Oct-25,56700,0,0,0,0
BANKNIFTY,25-Nov-25,56700,0,0,0,0
BANKNIFTY,30-Sep-25,56800,57.4,2528.7,1779,173
