Symbol,Expiry,Strike,CE_LTP,PE_LTP,CE_OI,PE_OI
BANKNIFTY,30-Sep-2025,40500,0.0,5.0,0.0,436.0
BANKNIFTY,30-Sep-2025,42000,0.0,5.8,0.0,252.0
BANKNIFTY,30-Sep-2025,43500,0.0,6.9,0.0,469.0
BANKNIFTY,30-Sep-2025,45000,0.0,9.15,0.0,2247.0
BANKNIFTY,30-Sep-2025,46000,0.0,10.5,0.0,78.0
BANKNIFTY,28-Oct-2025,46000,0.0,21.8,0.0,51.0
BANKNIFTY,25-Nov-2025,46000,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,46500,0.0,10.4,70.0,1150.0
BANKNIFTY,28-Oct-2025,46500,0.0,28.5,0.0,0.0
BANKNIFTY,25-Nov-2025,46500,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,47000,7335.0,11.0,107.0,883.0
BANKNIFTY,28-Oct-2025,47000,0.0,30.95,0.0,332.0
BANKNIFTY,25-Nov-2025,47000,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,47500,0.0,13.35,1.0,502.0
BANKNIFTY,28-Oct-2025,47500,0.0,38.8,0.0,139.0
BANKNIFTY,25-Nov-2025,47500,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,48000,6340.05,14.5,2612.0,5722.857142857143
BANKNIFTY,28-Oct-2025,48000,0.0,47.8,115.0,1320.0
BANKNIFTY,25-Nov-2025,48000,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,48500,0.0,15.65,21.0,985.0
BANKNIFTY,28-Oct-2025,48500,0.0,53.95,0.0,151.0
BANKNIFTY,25-Nov-2025,48500,0.0,0.0,0.0,0.0
BANKNIFTY,30-Sep-2025,48700,0.0,0.0,0.0,0.0
BANKNIFTY,28-Oct-2025,48700,0.0,0.0,0.0,0.0
BANKNIFTY,25-Nov-2025,48700,0.0,0.0,0.0,0.0
